amount;date;toAccount;fromAccount
90.2;22/02/2020;FR12 9087 4324 63JM IIXX TSWS D95;SM13 P047 8906 630D B481 PF0Q VLQ
300;22/02/2020;VG94 OIYH 6404 6145 4564 1395;TR95 0505 79D9 NKPM I83O XQLT NJ
510;22/02/2020;VG94 NBWK 8224 7860 9157 0719;TR94 1480 7FUB FGLM PSKE DHJJ Q9
720;22/02/2020;VG89 AHBV 6819 9462 8368 9030;TR93 8610 7XFM ZX1P DRZE MRPF 4V
930;22/02/2020;VG88 SFDS 4580 0202 7724 0163;TR91 6663 8MZB MAW8 DJNC XORO CO
1140;22-02/2020;VG87 ZODG 0291 5594 7243 0661;TR85 5219 8S4Q SKDX DIMY KGIS 3G
1350;22/02/2020;VG86 NZFZ 0659 6420 0686 0851;TR77 4740 4S99 XSH4 AMCB XV1U O8
1560;22/02/2020;VG84 SFBE 8434 3395 0478 8691;TR76 1128 3U8Z JMKR O4Q7 HTGV ZP
1770;22/02/2020;VG83 UHFL 4526 4819 8212 6630;TR55 7572 883Z ORO6 CIDA ORKC CM
1980;22/02/2020;VG75 YNPK 1712 1694 8155 9903;TR55 2883 33Y3 T7SE NTJQ AVGW 2C
2190;22/02/2020;VG74 BSTY 9773 2635 5430 2107;TR52 7537 5AH3 HOZD VAAC MCTE TG
2400;22/02/2020;VG67 NDJU 2377 9708 2578 2388;TR43 4361 1B2Z RU2V GBFY VIYM SH
2610;22/02/2020;VG63 PDHU 1085 1479 7953 9369;TR42 7274 4JXI 4QKG ZCDW HME8 DD
2820;22/02/2020;VG62 OMPL 2529 5573 8784 6939;TR40 1452 05ND CVT7 T1CU YIHS CY
3030;22/02/2020;VG60 ESDE 9302 3508 8240 0977;TR37 4751 7XW2 JF8E PTJV TOQ6 JN
3240;22/02/2020;VG59 UKYE 9088 1441 3813 9700;TR33 8674 5ECB SRNR 2MPX WAO8 4L
3450;22/02/2020;VG55 EPKZ 2325 3916 0084 2313;TR33 3526 1CUA JYHN IR3F ZW8Q IT
3660;22/02/2020;VG55 AFZP 0668 1161 1603 7739;TR28 0247 0F3X 7P92 IZG5 LXOM 06
3870;22/02/2020;VG53 WFMI 3402 6607 6310 0794;TR26 4739 7YLU WC0R JMSK SWMI HH
4080;22/02/2020;VG46 OSVQ 1092 2732 1779 5562;TR21 8688 1NHJ OCAF VFIE ROHY VU
4290;22/02/2020;VG43 YRND 5296 4776 0818 1846;TR19 8314 1BLC UP4S 1I6P ZLPX U2
4500;22/02/2020;VG38 STCN 4739 0365 8790 0927;TR16 4806 9QSF FIQH UCSX BS5P SJ
4710;22/02/2020;VG33 UMOG 2446 9268 9327 4595;TR09 0156 9FB2 RQGJ QVMC G92S NI
4920;22/02/2020;VG31 INIU 6297 9245 8623 7674;TR08 4795 3ZFY XKQR ZNBT OWVR DQ
5130;22/02/2020;VG30 KQLM 7860 9250 1284 2326;TR04 3728 0TFK I0BE OMT8 AVI7 FA
5340;22/02/2020;VG25 VZAJ 7454 7098 5908 8787;TR02 6036 9UQS LPNA WPB2 QLSQ UR
5550;22/02/2020;VG25 VSQN 1060 9149 7952 6805;TN97 7686 0754 9758 2388 8011
5760;22/02/2020;VG24 UTUI 2553 8769 6853 5245;TN95 5254 7316 6683 6230 1869
5970;22/02/2020;VG24 AQZA 2447 0037 5294 0191;TN92 8596 4707 9448 4739 0579
6180;22/02/2020;VG23 FGHB 1546 3974 9264 8318;TN87 9020 1514 1538 1682 8018
6390;22/02/2020;VG22 NXRU 3898 0401 9885 9061;TN85 4647 3298 0193 6402 3566
6600;22/02/2020;VG18 SLPL 0957 3558 6701 7821;TN80 6287 8838 2761 3049 0821
6810;22/02/2020;VG18 BBIV 0111 5723 6034 5107;TN79 5134 4560 8066 4337 9925
7020;22/02/2020;VG16 WIRT 0972 5536 1836 6519;TN74 3695 8547 3650 5360 6454
7230;22/02/2020;VG15 YVZV 9594 2524 3562 4576;TN73 3635 4569 8978 7307 9582
7440;22/02/2020;VG15 ABVC 2952 6738 9101 5830;TN71 9648 3078 5064 3236 7902
7650;22/02/2020;VG13 WXTQ 7413 6600 3205 0964;TN70 3850 1282 9615 2255 6796
7860;22/02/2020;VG12 RRCA 7946 7368 5109 0100;TN69 1144 0362 7974 6273 4423
8070;22/02/2020;TR97 1211 3ZVW 7HBE MFL4 OWC4 DL;TN68 9686 6191 5392 4901 0748
